Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		34	15	19	0	i, a, oU, @r, @n, aI, y, u, iN, an, in, yn, aU, aN, eI, t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ i, @ yn, aI @, y @	172198.796491
@n									0.000	0	0	0.0		0		0	0.000		32	15	17	0	i, a, oU, @r, aI, y, @, u, iN, an, in, yn, aU, aN, eI, x @n, r @n, Z @n, k @n, m @n, u @n, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, n @n, @n aI, c @n	87365.7647059
@N									0.000	0	0	0.0		0		0	0.000		35	16	19	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, n @N, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, u @N, s @N	62183.0493421
@r									0.000	0	0	0.0		0		0	0.000		24	15	9	0	i, a, oU, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, @r i, iN @r, oU @r, y @r, @r y, in @r, i @r, @r u, u @r	45865.8666667
1									0.000	0	0	0.0		0		0	0.000		23	16	7	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	244006.455357
a									0.000	0	0	0.0		0		0	0.000		45	15	30	0	i, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, a i, Qi a, a a, k a, ti a	104519.433333
aI									0.000	0	0	0.0		0		0	0.000		42	15	27	0	i, a, oU, @r, @n, y, @, u, iN, an, in, yn, aU, aN, eI, z aI, l aI, T aI, Ku aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, xu aI, p aI, ku aI, u aI, Su aI, s aI, n aI, C aI, Z aI, S aI, Zu aI, Cu aI, aI i, aI @, @n aI, aI aI	86445.7925926
an									0.000	0	0	0.0		0		0	0.000		55	15	40	0	i, a, oU, @r, @n, aI, y, @, u, iN, in, yn, aU, aN, eI, xu an, K an, t an, u an, p an, Cu an, T an, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, x an, lu an, P an, c an, C an, z an, r an, Tu an, Ku an, zu an, ru an, nu an, Su an, i an, cu an, in an, an y, an i, an iN, y an, an an	62848.7416667
aN									0.000	0	0	0.0		0		0	0.000		46	15	31	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, eI, Xi aN, r aN, S aN, li aN, p aN, Ji aN, t aN, Z aN, f aN, C aN, Qi aN, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aN, ku aN, l aN, Ku aN, xu aN, P aN, ni aN, z aN, K aN, s aN, x aN, n aN	77834.172043
ar									0.000	0	0	0.0		0		0	0.000		16	16	0	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI	45611.3125
aU									0.000	0	0	0.0		0		0	0.000		45	15	30	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aN, eI, li aU, x aU, i aU, t aU, Z aU, Ji aU, Xi aU, k aU, Ti aU, z aU, ti aU, l aU, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aU, mi aU, Pi aU, ni aU, n aU, pi aU, r aU, s aU, aU yn, aU aU	118573.433333
c @									0.000	0	0	0.0		0		0	0.000		33	27	5	1	t @, Z @, k @, n @, K @, c 1, c oN, c aI, C @, x @, S @, r @, T @, c aU, c aN, l @, s @, c an, z @, c un, c @N, c a, c u, c oU, aI @, y @, c @n, y c @, c @ i, i c @, c @ iN, c @ @r, @	122738.466667
C @									0.000	0	0	0.0		0		0	0.000		33	27	5	1	t @, Z @, k @, n @, K @, C u, C 1, C aN, x @, C @N, C a, C oN, C aU, C oU, S @, r @, T @, C un, l @, s @, z @, C @n, C an, c @, C aI, aI @, y @, C oU @, yn C @, C u @, C a @, C aU @, @	121656.288889
c @n									0.000	0	0	0.0		0		0	0.000		28	27	0	1	x @n, r @n, Z @n, k @n, c 1, m @n, c oN, c aI, u @n, f @n, S @n, p @n, c aU, c aN, K @n, c an, c un, c @N, C @n, c a, c @, z @n, P @n, s @n, c u, c oU, n @n, @n	72059.4814815
c @N									0.000	0	0	0.0		0		0	0.000		31	30	1	0	n @N, c 1, c oN, c aI, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, c aU, c aN, T @N, l @N, c an, c un, x @N, c a, c @, p @N, c u, K @N, c oU, k @N, u @N, s @N, c @n, yn c @N	16124.8333333
C @n									0.000	0	0	0.0		0		0	0.000		33	27	5	1	x @n, r @n, Z @n, k @n, C u, m @n, C 1, u @n, C @, C aN, C @N, f @n, C a, S @n, p @n, C oN, C aU, C oU, C un, K @n, C an, z @n, P @n, s @n, C aI, n @n, c @n, C @n i, C @n aI, in C @n, yn C @n, iN C @n, @n	72872.3777778
C @N									0.000	0	0	0.0		0		0	0.000		38	30	8	0	n @N, C u, t @N, C 1, Z @N, C @, C aN, S @N, C a, f @N, C oN, C aU, C oU, r @N, m @N, z @N, P @N, C un, T @N, l @N, c @N, C @n, x @N, C an, p @N, C aI, K @N, k @N, u @N, s @N, C @N i, i C @N, iN C @N, C @N y, C @N in, C @N u, @ C @N, aI C @N	15721.6166667
c @r									0.000	0	0	0.0		0		0	0.000		23	19	3	1	c 1, c oN, c aI, c aU, c aN, c an, c un, c @N, c a, iN @r, c @, oU @r, c u, c oU, y @r, in @r, i @r, c @n, u @r, c oN @r, c 1 @r, c @ @r, @r	64057.1754386
C @r									0.000	0	0	0.0		0		0	0.000		23	19	3	1	C u, C 1, C @, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, iN @r, C an, C aI, oU @r, y @r, in @r, i @r, u @r, C oN @r, C u @r, C a @r, @r	65202.8596491
c 1									0.000	0	0	0.0		0		0	0.000		26	18	8	0	S 1, Z 1, s 1, c oN, c aI, C 1, z 1, c aU, c aN, r 1, c an, c un, c @N, c a, c @, c u, c oU, c @n, in c 1, i c 1, c 1 an, c 1 y, y c 1, c 1 aI, c 1 @r, c 1 i	80767.9305556
C 1									0.000	0	0	0.0		0		0	0.000		22	18	4	0	S 1, Z 1, s 1, c 1, C u, C @, C aN, C @N, C a, z 1, C oN, C aU, C oU, r 1, C un, C @n, C an, C aI, iN C 1, u C 1, y C 1, C 1 i	84909.2222222
c a									0.000	0	0	0.0		0		0	0.000		41	40	0	1	T a, p a, m a, n a, t a, Xi a, c 1, xu a, c oN, c aI, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, c aU, ku a, c aN, z a, K a, Z a, s a, Su a, c an, c un, c @N, c @, Ku a, c u, Qi a, c oU, a a, k a, ti a, c @n, a	186804.025
C a									0.000	0	0	0.0		0		0	0.000		49	40	8	1	T a, p a, m a, n a, t a, Xi a, xu a, C u, Ji a, S a, C 1, C @, l a, C aN, C @N, i a, u a, f a, C oN, Zu a, P a, C aU, C oU, x a, ku a, z a, C un, K a, Z a, s a, Su a, C @n, c a, C an, Ku a, C aI, Qi a, a a, k a, ti a, C a i, C a an, an C a, y C a, u C a, C a @, in C a, C a @r, a	186849.8
c aI									0.000	0	0	0.0		0		0	0.000		45	36	8	1	z aI, l aI, T aI, Ku aI, c 1, t aI, c oN, k aI, x aI, K aI, m aI, P aI, xu aI, p aI, ku aI, c aU, c aN, u aI, Su aI, s aI, c an, c un, c @N, n aI, c a, c @, C aI, Z aI, c u, S aI, Zu aI, c oU, Cu aI, @n aI, c @n, aI aI, c aI u, c 1 aI, c aI i, yn c aI, i c aI, u c aI, c aI yn, iN c aI, aI	66812.2777778
C aI									0.000	0	0	0.0		0		0	0.000		41	36	4	1	z aI, l aI, T aI, Ku aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, C aN, C @N, P aI, C a, C oN, xu aI, C aU, p aI, C oU, ku aI, u aI, C un, Su aI, s aI, C @n, n aI, C an, Z aI, S aI, Zu aI, Cu aI, @n aI, aI aI, C oN aI, C @n aI, C aN aI, C aI i, aI	69993.3055556
c an									0.000	0	0	0.0		0		0	0.000		55	48	6	1	xu an, K an, t an, c 1, c oN, c aI, u an, p an, Cu an, T an, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, c aU, c aN, x an, lu an, P an, c un, c @N, c a, C an, z an, c @, r an, Tu an, Ku an, zu an, c u, ru an, nu an, Su an, c oU, i an, cu an, in an, y an, an an, c @n, c an y, u c an, c 1 an, c an in, c an an, c aU an, an	26693.6458333
