Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		23	4	19	0	i, a, y, u, t @, Z @, k @, n @, K @, @ r, @ n, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ i, y @	237329.605263
@ n									0.000	0	0	0.0		0		0	0.000		24	6	17	1	@ r, a n, i n, y n, @ y, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, c @ n, @	82323.245098
@ N									0.000	0	0	0.0		0		0	0.000		26	6	19	1	@ r, @ n, i N, @ y, a N, @ i, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, @	62985.7368421
@ r									0.000	0	0	0.0		0		0	0.000		10	3	6	1	@ n, @ y, @ i, @ r i, y @ r, @ r y, i @ r, @ r u, u @ r, @	42619.6666667
1									0.000	0	0	0.0		0		0	0.000		12	5	7	0	i, a, y, @, u, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	289582.542857
a									0.000	0	0	0.0		0		0	0.000		38	4	34	0	i, y, @, u, T a, p a, m a, n a, t a, Xi a, xu a, Ji a, a I, S a, l a, i a, C a, u a, f a, a n, Zu a, P a, x a, ku a, z a, K a, Z a, s a, a U, Su a, c a, Ku a, a i, Qi a, a N, a a, k a, ti a	139058.191176
a I									0.000	0	0	0.0		0		0	0.000		32	6	25	1	a n, a U, a i, a N, e I, a a, z a I, l a I, T a I, Ku a I, t a I, c a I, k a I, x a I, K a I, m a I, P a I, xu a I, p a I, ku a I, u a I, Su a I, s a I, n a I, C a I, Z a I, S a I, Zu a I, Cu a I, a I i, a I @, a	179721.006667
a n									0.000	0	0	0.0		0		0	0.000		46	8	37	1	@ n, a I, i n, y n, a U, a i, a N, a a, xu a n, K a n, t a n, u a n, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, l a n, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, a n y, a n i, y a n, a	161219.689189
a N									0.000	0	0	0.0		0		0	0.000		38	6	31	1	a I, i N, a n, a U, a i, a a, Xi a N, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, a	173557.672043
a r									0.000	0	0	0.0		0		0	0.000		8	7	0	1	@ r, a I, a n, a U, a i, a N, a a, a	148801.714286
a U									0.000	0	0	0.0		0		0	0.000		35	6	28	1	o U, a I, a n, a i, a N, a a, li a U, x a U, i a U, t a U, Z a U, Ji a U, Xi a U, k a U, Ti a U, z a U, ti a U, l a U, P a U, p a U, S a U, Qi a U, K a U, T a U, C a U, m a U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, s a U, a	234584.428571
c @									0.000	0	0	0.0		0		0	0.000		23	17	5	1	t @, Z @, k @, n @, K @, c 1, C @, x @, S @, r @, T @, l @, s @, z @, c a, c u, y @, c @ N, y c @, c @ i, i c @, c @ n, @	172164.2
C @									0.000	0	0	0.0		0		0	0.000		22	17	4	1	t @, Z @, k @, n @, K @, C u, C 1, x @, C a, S @, r @, T @, l @, s @, z @, c @, y @, C @ N, C @ n, C u @, C a @, @	177656.602941
c @ n									0.000	0	0	0.0		0		0	0.000		21	19	0	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, c a n, c u n, c @ N, C @ n, z @ n, P @ n, s @ n, n @ n, c @ i, @ n, c @	57843.0789474
c @ N									0.000	0	0	0.0		0		0	0.000		24	22	1	1	n @ N, c o N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, c a N, T @ N, l @ N, x @ N, p @ N, K @ N, k @ N, u @ N, c @ i, s @ N, c @ n, c @ i N, c @	17962.9090909
C @ n									0.000	0	0	0.0		0		0	0.000		21	18	1	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, C @ N, f @ n, S @ n, p @ n, C u n, K @ n, C a n, z @ n, P @ n, s @ n, n @ n, c @ n, C @ n i, @ n, C @	73613.8333333
C @ N									0.000	0	0	0.0		0		0	0.000		27	21	5	1	n @ N, t @ N, Z @ N, C a N, S @ N, f @ N, C o N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, C @ n, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, C @ N i, i C @ N, C @ N y, C @ N u, @ C @ N, C @	41947.1238095
c @ r									0.000	0	0	0.0		0		0	0.000		10	6	2	2	c @ N, y @ r, i @ r, c @ i, u @ r, c @ n, c 1 @ r, c @ @ r, @ r, c @	28485.5
C @ r									0.000	0	0	0.0		0		0	0.000		9	5	2	2	C @ N, C @ n, y @ r, i @ r, u @ r, C u @ r, C a @ r, @ r, C @	44820.6
c 1									0.000	0	0	0.0		0		0	0.000		13	9	4	0	S 1, Z 1, s 1, C 1, z 1, r 1, c a, c @, c u, i c 1, c 1 y, y c 1, c 1 i	148468.027778
C 1									0.000	0	0	0.0		0		0	0.000		12	9	3	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i	161097.888889
c a									0.000	0	0	0.0		0		0	0.000		36	31	4	1	T a, p a, m a, n a, t a, Xi a, c 1, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c @, Ku a, c u, Qi a, a a, k a, ti a, c a I, c a U, c a N, c a n, a	213268.370968
C a									0.000	0	0	0.0		0		0	0.000		40	31	8	1	T a, p a, m a, n a, t a, Xi a, xu a, C u, Ji a, S a, C 1, C @, l a, i a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, ti a, C a N, C a U, C a n, C a I, C a i, y C a, u C a, C a @, a	203712.580645
c a I									0.000	0	0	0.0		0		0	0.000		32	25	5	2	z a I, l a I, T a I, Ku a I, t a I, k a I, x a I, K a I, m a I, P a I, xu a I, p a I, ku a I, c a U, c a N, u a I, Su a I, s a I, c a n, n a I, C a I, Z a I, S a I, Zu a I, Cu a I, c a I u, c 1 a I, c a I i, i c a I, u c a I, a I, c a	59989.12
