Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@ 0									0.000	0	0	0.0		0		0	0.000		7	3	4	0	@ 4, @ 2, @ 3, t @ 0, k @ 0, n @ 0, l @ 0	493005.833333
@ n 0									0.000	0	0	0.0		0		0	0.000		3	2	1	0	@ n 1, @ n 4, m @ n 0	59804.0
@ N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
@ n 2									0.000	0	0	0.0		0		0	0.000		14	5	8	1	@ r 2, @ n 1, i n 2, y n 2, @ n 4, r @ n 2, m @ n 2, u @ n 2, S @ n 2, C @ n 2, x @ n 2, f @ n 2, P @ n 2, @ 2	45141.125
@ N 2									0.000	0	0	0.0		0		0	0.000		16	3	12	1	@ r 2, i N 2, a N 2, n @ N 2, C @ N 2, T @ N 2, r @ N 2, c @ N 2, m @ N 2, f @ N 2, P @ N 2, S @ N 2, x @ N 2, p @ N 2, l @ N 2, @ 2	35476.9166667
@ N 3									0.000	0	0	0.0		0		0	0.000		12	2	9	1	@ r 3, i N 3, t @ N 3, Z @ N 3, l @ N 3, S @ N 3, m @ N 3, P @ N 3, C @ N 3, k @ N 3, u @ N 3, @ 3	7942.33333333
@ N 4									0.000	0	0	0.0		0		0	0.000		18	4	13	1	@ r 4, i N 4, @ n 4, a N 4, Z @ N 4, S @ N 4, m @ N 4, P @ N 4, p @ N 4, t @ N 4, f @ N 4, c @ N 4, z @ N 4, l @ N 4, C @ N 4, u @ N 4, k @ N 4, @ 4	30646.1730769
@ r 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	@ r 2, @ r 4, @ r 3	18282.6666667
@ r 1									0.000	0	0	0.0		0		0	0.000		4	4	0	0	@ r 2, @ n 1, @ r 4, @ r 3	23620.25
1 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
1 1									0.000	0	0	0.0		0		0	0.000		9	4	5	0	i 1, a 1, u 1, y 1, C 1 1, Z 1 1, s 1 1, S 1 1, z 1 1	99589.2
1 2									0.000	0	0	0.0		0		0	0.000		9	5	4	0	y 2, u 2, i 2, @ 2, a 2, S 1 2, Z 1 2, c 1 2, C 1 2	15057.5
1 3									0.000	0	0	0.0		0		0	0.000		10	4	6	0	i 3, y 3, u 3, @ 3, Z 1 3, s 1 3, S 1 3, c 1 3, z 1 3, C 1 3	37332.25
1 4									0.000	0	0	0.0		0		0	0.000		11	4	7	0	@ 4, i 4, y 4, u 4, S 1 4, c 1 4, s 1 4, z 1 4, Z 1 4, r 1 4, C 1 4	171116.321429
a 0									0.000	0	0	0.0		0		0	0.000		4	2	2	0	a 1, a 2, p a 0, i a 0	169403.0
a I 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	a I 4, a I 1, a I 3, a I 2	8637.0
a n 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	a n 4, a n 1, a n 3	3402.66666667
a N 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	a N 2, a N 1, a N 4	128.333333333
a r 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
a r 1									0.000	0	0	0.0		0		0	0.000		5	4	0	1	a I 1, a n 1, a N 1, a U 1, a 1	135115.75
a r 2									0.000	0	0	0.0		0		0	0.000		5	4	0	1	@ r 2, a U 2, a N 2, a I 2, a 2	11834.0
a r 3									0.000	0	0	0.0		0		0	0.000		4	4	0	0	@ r 3, a I 3, a n 3, a U 3	1200.25
a r 4									0.000	0	0	0.0		0		0	0.000		5	5	0	0	a I 4, a n 4, @ r 4, a U 4, a N 4	9196.0
a U 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	a U 4, a U 2, a U 1, a U 3	625.75
c @ 0									0.000	0	0	0.0		0		0	0.000		5	5	0	0	t @ 0, k @ 0, n @ 0, c @ 4, l @ 0	387166.0
C @ 0									0.000	0	0	0.0		0		0	0.000		7	7	0	0	t @ 0, k @ 0, n @ 0, C @ 1, C @ 3, l @ 0, C @ 4	280109.714286
c @ 1									0.000	0	0	0.0		0		0	0.000		10	9	1	0	C @ 1, k @ 1, K @ 1, c a 1, c @ 4, x @ 1, c u 1, Z @ 1, S @ 1, c @ N 1	4717.55555556
c @ 2									0.000	0	0	0.0		0		0	0.000		11	9	1	1	x @ 2, c 1 2, k @ 2, t @ 2, z @ 2, S @ 2, c @ 4, Z @ 2, K @ 2, c @ N 2, @ 2	5095.66666667
