Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		55	32	23	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ uaI, @ i, @ yn, aI @, y @, uan @, @ u@n, @ iEn	212099.476902
@n									0.000	0	0	0.0		0		0	0.000		49	32	17	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, x @n, r @n, Z @n, k @n, m @n, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, @n yEn, n @n, @n aI, c @n	147807.354779
@N									0.000	0	0	0.0		0		0	0.000		51	33	18	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, n @N, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, s @N	123516.479798
@r									0.000	0	0	0.0		0		0	0.000		52	32	20	0	uo, ioU, iaU, i, iE, a, oU, ueI, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, @r i, @r iEn, iN @r, oU @r, uan @r, ioU @r, ueI @r, y @r, @r yE, @r y, in @r, i @r, @r u@n, yE @r, @r yEn, @r uaI, @r uan, ua @r, @r u, u @r	108156.675
1									0.000	0	0	0.0		0		0	0.000		40	33	7	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	304425.5671
a									0.000	0	0	0.0		0		0	0.000		53	32	21	0	uo, ioU, iaU, i, iE, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, T a, p a, m a, n a, t a, S a, l a, C a, f a, P a, x a, z a, K a, Z a, s a, c a, a i, a a, k a, a ia, a ioU	188022.720238
aI									0.000	0	0	0.0		0		0	0.000		60	32	28	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N, z aI, l aI, T aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, p aI, s aI, n aI, C aI, Z aI, aI ia, S aI, aI iaU, aI i, aI @, ioU aI, @n aI, u aI, aI iEn, aI yEn, aI aI, aI ua, aI u@n	143864.642857
an									0.000	0	0	0.0		0		0	0.000		67	32	35	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, in, iaN, uaI, yn, aU, aN, eI, u@N, K an, t an, p an, T an, s an, n an, k an, Z an, f an, S an, m an, l an, x an, uan an, P an, c an, C an, z an, r an, an ueI, i an, in an, an y, an u@n, an i, an iN, u@n an, iEn an, y an, an an, yEn an, an ia, ioU an, iaU an, ueI an	118755.464286
aN									0.000	0	0	0.0		0		0	0.000		50	32	18	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, eI, u@N, r aN, S aN, p aN, t aN, Z aN, f aN, C aN, k aN, m aN, T aN, c aN, l aN, P aN, z aN, K aN, s aN, x aN, n aN	133974.756944
ar									0.000	0	0	0.0		0		0	0.000		33	33	0	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aU, aN, eI, u@N	106030.424242
aU									0.000	0	0	0.0		0		0	0.000		53	32	21	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, ioN, uan, @n, aI, y, u@n, @, u, yEn, yE, ia, uaN, iN, ua, iEn, an, in, iaN, uaI, yn, aN, eI, u@N, x aU, t aU, Z aU, k aU, z aU, l aU, P aU, p aU, S aU, K aU, T aU, C aU, m aU, c aU, n aU, r aU, s aU, aU iE, aU yn, aU ioU, aU aU	142776.275298
c @									0.000	0	0	0.0		0		0	0.000		40	31	8	1	t @, Z @, k @, n @, K @, c 1, c oN, c aI, c uo, C @, x @, S @, r @, T @, c aU, c aN, l @, s @, c an, z @, c un, c @N, c a, c ueI, c u, c oU, c uan, aI @, y @, uan @, c @n, y c @, c @ iEn, ioU c @, c @ i, i c @, uaI c @, c @ iN, c @ @r, @	111762.133065
C @									0.000	0	0	0.0		0		0	0.000		43	33	9	1	t @, Z @, k @, n @, K @, C u, C 1, C uan, C aN, x @, C @N, C a, C oN, C uaN, C aU, C oU, S @, r @, T @, C un, l @, s @, C ueI, z @, C @n, C an, c @, C aI, C uo, C uaI, aI @, y @, uan @, C @ ueI, C oU @, C @ iE, yn C @, ioU C @, C u @, C a @, ioN C @, C aU @, @	105659.616162
c @n									0.000	0	0	0.0		0		0	0.000		30	29	0	1	x @n, r @n, Z @n, k @n, c 1, m @n, c oN, c aI, c uo, f @n, S @n, p @n, c aU, c aN, K @n, c an, c un, c @N, C @n, c a, c @, z @n, P @n, s @n, c ueI, c u, c oU, n @n, c uan, @n	70135.4137931
c @N									0.000	0	0	0.0		0		0	0.000		36	32	4	0	n @N, c 1, c oN, c aI, t @N, c uo, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, c aU, c aN, T @N, l @N, c an, c un, x @N, c a, c @, p @N, c ueI, c u, K @N, c oU, c uan, k @N, s @N, c @n, ueI c @N, yn c @N, uaI c @N, iEn c @N	16278.65625
C @n									0.000	0	0	0.0		0		0	0.000		39	31	7	1	x @n, r @n, Z @n, k @n, C u, m @n, C 1, C @, C uan, C aN, C @N, f @n, C a, S @n, p @n, C oN, C uaN, C aU, C oU, C un, K @n, C ueI, C an, z @n, P @n, s @n, C aI, C uo, C uaI, n @n, c @n, C @n i, C @n aI, in C @n, yn C @n, iEn C @n, C @n u@n, iN C @n, @n	68712.0046083
C @N									0.000	0	0	0.0		0		0	0.000		54	34	20	0	n @N, C u, t @N, C 1, Z @N, C @, C uan, C aN, S @N, C a, f @N, C oN, C uaN, C aU, C oU, r @N, m @N, z @N, P @N, C un, T @N, l @N, C ueI, c @N, C @n, x @N, C an, p @N, C aI, C uo, K @N, C uaI, k @N, s @N, C @N ueI, uan C @N, C @N yEn, yEn C @N, C @N i, C @N uaI, i C @N, iaN C @N, iN C @N, C @N iaU, iEn C @N, C @N u@n, C @N y, C @N in, ueI C @N, C @N u, @ C @N, aI C @N, C @N uan, uaN C @N	15735.9705882
c @r									0.000	0	0	0.0		0		0	0.000		31	27	3	1	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, iN @r, c @, c ueI, oU @r, c u, uan @r, c oU, ioU @r, ueI @r, c uan, y @r, in @r, i @r, yE @r, ua @r, c @n, u @r, c oN @r, c 1 @r, c @ @r, @r	62777.4444444
C @r									0.000	0	0	0.0		0		0	0.000		33	29	3	1	C u, C 1, C @, C uan, C aN, C @N, C a, C oN, C uaN, C aU, C oU, C un, C ueI, C @n, iN @r, C an, C aI, oU @r, uan @r, C uo, ioU @r, ueI @r, C uaI, y @r, in @r, i @r, yE @r, ua @r, u @r, C oN @r, C u @r, C a @r, @r	62794.4022989
c 1									0.000	0	0	0.0		0		0	0.000		38	21	17	0	S 1, Z 1, s 1, c oN, c aI, c uo, C 1, z 1, c aU, c aN, r 1, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n, in c 1, ueI c 1, c 1 uaI, i c 1, c 1 an, c 1 y, ioU c 1, iEn c 1, y c 1, c 1 aI, c 1 iEn, c 1 @r, c 1 iaU, c 1 ueI, c 1 i, c 1 yEn, c 1 uan	70907.6498599
C 1									0.000	0	0	0.0		0		0	0.000		33	23	10	0	S 1, Z 1, s 1, c 1, C u, C @, C uan, C aN, C @N, C a, z 1, C oN, C uaN, C aU, C oU, r 1, C un, C ueI, C @n, C an, C aI, C uo, C uaI, iN C 1, ia C 1, ueI C 1, u C 1, ioN C 1, C 1 ioU, iEn C 1, y C 1, C 1 i, C 1 iaU	67923.8173913
c a									0.000	0	0	0.0		0		0	0.000		33	32	0	1	T a, p a, m a, n a, t a, c 1, c oN, c aI, c uo, S a, l a, C a, f a, P a, x a, c aU, c aN, z a, K a, Z a, s a, c an, c un, c @N, c @, c ueI, c u, c oU, c uan, a a, k a, c @n, a	194792.71875
C a									0.000	0	0	0.0		0		0	0.000		51	34	16	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, C uan, C aN, C @N, f a, C oN, C uaN, P a, C aU, C oU, x a, z a, C un, K a, Z a, s a, C ueI, C @n, c a, C an, C aI, C uo, C uaI, a a, k a, C a i, C a an, C a yE, C a iE, an C a, y C a, u C a, C a u@n, C a iEn, C a @, C a uan, in C a, C a @r, C a ioU, iEn C a, C a iaN, a	191111.511029
c aI									0.000	0	0	0.0		0		0	0.000		53	34	18	1	z aI, l aI, T aI, c 1, t aI, c oN, k aI, c uo, x aI, K aI, m aI, P aI, p aI, c aU, c aN, s aI, c an, c un, c @N, n aI, c a, c @, C aI, c ueI, Z aI, c u, S aI, c oU, c uan, ioU aI, @n aI, u aI, c @n, aI aI, c aI u, c aI ioN, c aI yEn, c 1 aI, c aI i, yn c aI, ioU c aI, c aI iaN, i c aI, c aI iaU, u c aI, c aI ioU, c aI yn, ioN c aI, c aI iE, iN c aI, u@n c aI, iaU c aI, aI	67244.5784314
C aI									0.000	0	0	0.0		0		0	0.000		43	36	6	1	z aI, l aI, T aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, C uan, C aN, C @N, P aI, C a, C oN, C uaN, C aU, p aI, C oU, C un, s aI, C ueI, C @n, n aI, C an, Z aI, S aI, C uo, C uaI, ioU aI, @n aI, u aI, aI aI, ioU C aI, C oN aI, C @n aI, C aI ioU, C aN aI, C aI i, aI	68504.6111111
c an									0.000	0	0	0.0		0		0	0.000		55	43	11	1	K an, t an, c 1, c oN, c aI, c uo, p an, T an, s an, n an, k an, Z an, f an, S an, m an, l an, c aU, c aN, x an, uan an, P an, c un, c @N, c a, C an, z an, c @, r an, c ueI, c u, c oU, i an, c uan, in an, u@n an, iEn an, y an, an an, yEn an, ioU an, c @n, iaU an, ueI an, uan c an, c an y, u c an, iE c an, ioN c an, c 1 an, c an iEn, c an in, c an an, c aU an, c an yE, an	23448.2896406
c aN									0.000	0	0	0.0		0		0	0.000		40	32	7	1	r aN, S aN, c 1, p aN, c oN, c aI, c uo, t aN, Z aN, f aN, C aN, k aN, m aN, T aN, c aU, l aN, c an, P aN, c un, c @N, z aN, c a, c @, K aN, c ueI, c u, s aN, x aN, c oU, c uan, n aN, c @n, in c aN, c aN iN, iEn c aN, uo c aN, an c aN, yn c aN, c aN ueI, aN	20684.7544643
C an									0.000	0	0	0.0		0		0	0.000		53	45	7	1	K an, t an, C u, C 1, C @, p an, C uan, C aN, C @N, T an, s an, n an, k an, Z an, C a, f an, C oN, S an, C uaN, m an, C aU, l an, C oU, C un, x an, uan an, P an, C ueI, c an, C @n, z an, r an, C aI, C uo, C uaI, i an, in an, u@n an, iEn an, y an, an an, yEn an, ioU an, iaU an, ueI an, i C an, C an iE, C an u, C a an, in C an, u C an, C an iEn, an	22833.0222222
C aN									0.000	0	0	0.0		0		0	0.000		63	34	28	1	r aN, S aN, p aN, C u, t aN, C 1, Z aN, C @, f aN, C uan, C @N, C a, k aN, C oN, m aN, C uaN, T aN, C aU, C oU, c aN, C un, l aN, C ueI, P aN, C @n, z aN, C an, C aI, K aN, C uo, s aN, x aN, C uaI, n aN, iEn C aN, i C aN, C aN iN, uaN C aN, ioN C aN, u C aN, C aN i, C aN yEn, C aN ioN, C aN iE, C aN ueI, ueI C aN, C aN in, C aN ioU, C aN ua, y C aN, ioU C aN, uaI C aN, in C aN, C aN iaN, C aN iEn, yEn C aN, iE C aN, C aN aI, C aN u@n, C aN u, uan C aN, iaU C aN, aN	18994.4852941
c ar									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
C ar									0.000	0	0	0.0		0		0	0.000		18	18	0	0	C u, C 1, C @, C uan, C aN, C @N, C a, C oN, C uaN, C aU, C oU, C un, C ueI, C @n, C an, C aI, C uo, C uaI	12578.4444444
c aU									0.000	0	0	0.0		0		0	0.000		42	32	9	1	x aU, t aU, c 1, Z aU, c oN, c aI, c uo, k aU, z aU, l aU, P aU, p aU, S aU, K aU, T aU, C aU, m aU, c aN, n aU, c an, c un, c @N, c a, r aU, c @, c ueI, s aU, c u, c oU, c uan, aU aU, c @n, iEn c aU, c aU yEn, c aU iaU, c aU an, iE c aU, iaU c aU, aU c aU, c aU iE, c aU uo, aU	30762.0520833
C aU									0.000	0	0	0.0		0		0	0.000		40	34	5	1	x aU, t aU, Z aU, C u, C 1, k aU, C @, C uan, C aN, z aU, l aU, C @N, P aU, C a, p aU, S aU, C oN, K aU, C uaN, T aU, m aU, C oU, c aU, C un, n aU, C ueI, C @n, C an, r aU, C aI, s aU, C uo, C uaI, aU aU, C aU yE, uaN C aU, ueI C aU, C aU uaI, C aU @, aU	29522.9470588
c E									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
C E									0.000	0	0	0.0		0		0	0.000		18	18	0	0	C u, C 1, C @, C uan, C aN, C @N, C a, C oN, C uaN, C aU, C oU, C un, C ueI, C @n, C an, C aI, C uo, C uaI	12578.4444444
c eI									0.000	0	0	0.0		0		0	0.000		28	27	0	1	m eI, k eI, t eI, p eI, c 1, S eI, c oN, c aI, x eI, c uo, f eI, l eI, n eI, P eI, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, z eI, c u, c oU, c uan, c @n, eI	30672.4074074
C eI									0.000	0	0	0.0		0		0	0.000		30	29	0	1	m eI, k eI, t eI, p eI, S eI, C u, x eI, C 1, C @, C uan, C aN, C @N, C a, f eI, C oN, l eI, C uaN, C aU, n eI, C oU, P eI, C un, C ueI, C @n, C an, C aI, z eI, C uo, C uaI, eI	29206.4482759
c En									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
C En									0.000	0	0	0.0		0		0	0.000		18	18	0	0	C u, C 1, C @, C uan, C aN, C @N, C a, C oN, C uaN, C aU, C oU, C un, C ueI, C @n, C an, C aI, C uo, C uaI	12578.4444444
c i@									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
C i@									0.000	0	0	0.0		0		0	0.000		18	18	0	0	C u, C 1, C @, C uan, C aN, C @N, C a, C oN, C uaN, C aU, C oU, C un, C ueI, C @n, C an, C aI, C uo, C uaI	12578.4444444
c i@n									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
c i@N									0.000	0	0	0.0		0		0	0.000		16	16	0	0	c 1, c oN, c aI, c uo, c aU, c aN, c an, c un, c @N, c a, c @, c ueI, c u, c oU, c uan, c @n	13013.375
