Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@ 0									0.000	0	0	0.0		0		0	0.000		8	4	4	0	@ 4, ia 0, @ 2, @ 3, t @ 0, k @ 0, n @ 0, l @ 0	493334.5
@n 0									0.000	0	0	0.0		0		0	0.000		4	3	1	0	@n 1, ia 0, @n 4, m @n 0	56755.6666667
@N 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	ia 0	10700.0
@n 2									0.000	0	0	0.0		0		0	0.000		34	27	7	0	oU 2, ueI 2, @r 2, @n 1, uan 2, yEn 2, y 2, iN 2, ioU 2, u 2, u@n 2, iE 2, iEn 2, i 2, uaN 2, ia 2, iaN 2, aU 2, @ 2, iaU 2, in 2, yn 2, aN 2, ua 2, @n 4, aI 2, a 2, r @n 2, m @n 2, S @n 2, C @n 2, x @n 2, f @n 2, P @n 2	41104.6084656
@N 2									0.000	0	0	0.0		0		0	0.000		37	25	12	0	oU 2, ueI 2, @r 2, uan 2, yEn 2, y 2, iN 2, ioU 2, u 2, u@n 2, iE 2, iEn 2, i 2, uaN 2, ia 2, iaN 2, aU 2, @ 2, iaU 2, in 2, yn 2, aN 2, ua 2, aI 2, a 2, n @N 2, C @N 2, T @N 2, r @N 2, c @N 2, m @N 2, f @N 2, P @N 2, S @N 2, x @N 2, p @N 2, l @N 2	26534.2766667
@N 3									0.000	0	0	0.0		0		0	0.000		37	28	9	0	uo 3, ioU 3, iE 3, i 3, y 3, u 3, uan 3, uaN 3, yEn 3, iEn 3, @r 3, iaN 3, u@n 3, iaU 3, in 3, ioN 3, iN 3, @ 3, ueI 3, aI 3, oU 3, ua 3, ia 3, an 3, uaI 3, yn 3, aU 3, u@N 3, t @N 3, Z @N 3, l @N 3, S @N 3, m @N 3, P @N 3, C @N 3, k @N 3, f @N 3	83452.8412698
@N 4									0.000	0	0	0.0		0		0	0.000		44	32	12	0	iaU 4, ioN 4, ioU 4, ueI 4, aI 4, oU 4, @ 4, u@n 4, yE 4, an 4, uaN 4, uan 4, i 4, iE 4, @r 4, uaI 4, yEn 4, y 4, u 4, iaN 4, ia 4, yn 4, in 4, aU 4, iN 4, iEn 4, uo 4, eI 4, ua 4, @n 4, u@N 4, aN 4, Z @N 4, S @N 4, m @N 4, P @N 4, p @N 4, t @N 4, f @N 4, c @N 4, z @N 4, l @N 4, C @N 4, k @N 4	20347.6458333
@r 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	@r 2, ia 0, @r 4, @r 3	16387.0
@r 1									0.000	0	0	0.0		0		0	0.000		33	33	0	0	i 1, a 1, @r 2, iaU 1, @n 1, ua 1, oU 1, @r 4, in 1, @r 3, yE 1, iN 1, ia 1, aI 1, u 1, an 1, iEn 1, ioU 1, yn 1, uan 1, ueI 1, uo 1, uaI 1, y 1, aN 1, iE 1, aU 1, u@n 1, iaN 1, u@N 1, yEn 1, ioN 1, uaN 1	15765.9393939
1 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	ia 0	10700.0
1 1									0.000	0	0	0.0		0		0	0.000		35	30	5	0	i 1, a 1, iaU 1, @n 1, ua 1, oU 1, in 1, yE 1, iN 1, ia 1, aI 1, u 1, an 1, iEn 1, ioU 1, yn 1, uan 1, ueI 1, uo 1, uaI 1, y 1, aN 1, iE 1, aU 1, u@n 1, iaN 1, u@N 1, yEn 1, ioN 1, uaN 1, C 1 1, Z 1 1, s 1 1, S 1 1, z 1 1	29471.4666667
1 2									0.000	0	0	0.0		0		0	0.000		29	25	4	0	oU 2, ueI 2, @r 2, uan 2, yEn 2, y 2, iN 2, ioU 2, u 2, u@n 2, iE 2, iEn 2, i 2, uaN 2, ia 2, iaN 2, aU 2, @ 2, iaU 2, in 2, yn 2, aN 2, ua 2, aI 2, a 2, S 1 2, Z 1 2, c 1 2, C 1 2	20813.86
1 3									0.000	0	0	0.0		0		0	0.000		34	28	6	0	uo 3, ioU 3, iE 3, i 3, y 3, u 3, uan 3, uaN 3, yEn 3, iEn 3, @r 3, iaN 3, u@n 3, iaU 3, in 3, ioN 3, iN 3, @ 3, ueI 3, aI 3, oU 3, ua 3, ia 3, an 3, uaI 3, yn 3, aU 3, u@N 3, Z 1 3, s 1 3, S 1 3, c 1 3, z 1 3, C 1 3	103134.285714
1 4									0.000	0	0	0.0		0		0	0.000		39	32	7	0	iaU 4, ioN 4, ioU 4, ueI 4, aI 4, oU 4, @ 4, u@n 4, yE 4, an 4, uaN 4, uan 4, i 4, iE 4, @r 4, uaI 4, yEn 4, y 4, u 4, iaN 4, ia 4, yn 4, in 4, aU 4, iN 4, iEn 4, uo 4, eI 4, ua 4, @n 4, u@N 4, aN 4, S 1 4, c 1 4, s 1 4, z 1 4, Z 1 4, r 1 4, C 1 4	178989.133929
