Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		34	15	19	0	i, a, oU, @r, @n, aI, y, u, iN, an, in, yn, aU, aN, eI, t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ i, @ yn, aI @, y @	172198.796491
@n									0.000	0	0	0.0		0		0	0.000		32	15	17	0	i, a, oU, @r, aI, y, @, u, iN, an, in, yn, aU, aN, eI, x @n, r @n, Z @n, k @n, m @n, u @n, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, n @n, @n aI, c @n	87365.7647059
@N									0.000	0	0	0.0		0		0	0.000		35	16	19	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, n @N, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, u @N, s @N	62183.0493421
@r									0.000	0	0	0.0		0		0	0.000		24	15	9	0	i, a, oU, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, @r i, iN @r, oU @r, y @r, @r y, in @r, i @r, @r u, u @r	45865.8666667
1									0.000	0	0	0.0		0		0	0.000		23	16	7	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	244006.455357
a									0.000	0	0	0.0		0		0	0.000		36	15	21	0	i, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI, T a, p a, m a, n a, t a, S a, l a, i a, C a, u a, f a, P a, x a, z a, K a, Z a, s a, c a, a i, a a, k a	123996.895238
aI									0.000	0	0	0.0		0		0	0.000		36	15	21	0	i, a, oU, @r, @n, y, @, u, iN, an, in, yn, aU, aN, eI, z aI, l aI, T aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, p aI, u aI, s aI, n aI, C aI, Z aI, S aI, aI i, aI @, @n aI, aI aI	93996.4857143
an									0.000	0	0	0.0		0		0	0.000		41	15	26	0	i, a, oU, @r, @n, aI, y, @, u, iN, in, yn, aU, aN, eI, K an, t an, u an, p an, T an, s an, n an, k an, Z an, f an, S an, m an, l an, x an, P an, c an, C an, z an, r an, i an, in an, an y, an i, an iN, y an, an an	62431.9974359
aN									0.000	0	0	0.0		0		0	0.000		35	15	20	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, eI, r aN, S aN, p aN, t aN, Z aN, f aN, C aN, u aN, k aN, m aN, T aN, i aN, c aN, l aN, P aN, z aN, K aN, s aN, x aN, n aN	71979.5833333
ar									0.000	0	0	0.0		0		0	0.000		16	16	0	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aU, aN, eI	45611.3125
aU									0.000	0	0	0.0		0		0	0.000		35	15	20	0	i, a, oU, @r, @n, aI, y, @, u, iN, an, in, yn, aN, eI, x aU, i aU, t aU, Z aU, k aU, z aU, l aU, P aU, p aU, S aU, K aU, T aU, C aU, m aU, c aU, n aU, r aU, s aU, aU yn, aU aU	98050.8
c @									0.000	0	0	0.0		0		0	0.000		33	27	5	1	t @, Z @, k @, n @, K @, c 1, c oN, c aI, C @, x @, S @, r @, T @, c aU, c aN, l @, s @, c an, z @, c un, c @N, c a, c u, c oU, aI @, y @, c @n, y c @, c @ i, i c @, c @ iN, c @ @r, @	122738.466667
C @									0.000	0	0	0.0		0		0	0.000		33	27	5	1	t @, Z @, k @, n @, K @, C u, C 1, C aN, x @, C @N, C a, C oN, C aU, C oU, S @, r @, T @, C un, l @, s @, z @, C @n, C an, c @, C aI, aI @, y @, C oU @, yn C @, C u @, C a @, C aU @, @	121656.288889
c @n									0.000	0	0	0.0		0		0	0.000		28	27	0	1	x @n, r @n, Z @n, k @n, c 1, m @n, c oN, c aI, u @n, f @n, S @n, p @n, c aU, c aN, K @n, c an, c un, c @N, C @n, c a, c @, z @n, P @n, s @n, c u, c oU, n @n, @n	72059.4814815
c @N									0.000	0	0	0.0		0		0	0.000		31	30	1	0	n @N, c 1, c oN, c aI, t @N, Z @N, C @N, S @N, f @N, r @N, m @N, z @N, P @N, c aU, c aN, T @N, l @N, c an, c un, x @N, c a, c @, p @N, c u, K @N, c oU, k @N, u @N, s @N, c @n, yn c @N	16124.8333333
C @n									0.000	0	0	0.0		0		0	0.000		33	27	5	1	x @n, r @n, Z @n, k @n, C u, m @n, C 1, u @n, C @, C aN, C @N, f @n, C a, S @n, p @n, C oN, C aU, C oU, C un, K @n, C an, z @n, P @n, s @n, C aI, n @n, c @n, C @n i, C @n aI, in C @n, yn C @n, iN C @n, @n	72872.3777778
C @N									0.000	0	0	0.0		0		0	0.000		38	30	8	0	n @N, C u, t @N, C 1, Z @N, C @, C aN, S @N, C a, f @N, C oN, C aU, C oU, r @N, m @N, z @N, P @N, C un, T @N, l @N, c @N, C @n, x @N, C an, p @N, C aI, K @N, k @N, u @N, s @N, C @N i, i C @N, iN C @N, C @N in, C @N y, C @N u, @ C @N, aI C @N	15721.6166667
c @r									0.000	0	0	0.0		0		0	0.000		23	19	3	1	c 1, c oN, c aI, c aU, c aN, c an, c un, c @N, c a, iN @r, c @, oU @r, c u, c oU, y @r, in @r, i @r, c @n, u @r, c oN @r, c 1 @r, c @ @r, @r	64057.1754386
C @r									0.000	0	0	0.0		0		0	0.000		23	19	3	1	C u, C 1, C @, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, iN @r, C an, C aI, oU @r, y @r, in @r, i @r, u @r, C oN @r, C u @r, C a @r, @r	65202.8596491
c 1									0.000	0	0	0.0		0		0	0.000		26	18	8	0	S 1, Z 1, s 1, c oN, c aI, C 1, z 1, c aU, c aN, r 1, c an, c un, c @N, c a, c @, c u, c oU, c @n, in c 1, i c 1, c 1 an, c 1 y, y c 1, c 1 aI, c 1 @r, c 1 i	80767.9305556
C 1									0.000	0	0	0.0		0		0	0.000		22	18	4	0	S 1, Z 1, s 1, c 1, C u, C @, C aN, C @N, C a, z 1, C oN, C aU, C oU, r 1, C un, C @n, C an, C aI, iN C 1, u C 1, y C 1, C 1 i	84909.2222222
c a									0.000	0	0	0.0		0		0	0.000		32	31	0	1	T a, p a, m a, n a, t a, c 1, c oN, c aI, S a, l a, i a, C a, u a, f a, P a, x a, c aU, c aN, z a, K a, Z a, s a, c an, c un, c @N, c @, c u, c oU, a a, k a, c @n, a	196508.096774
C a									0.000	0	0	0.0		0		0	0.000		40	31	8	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, C aN, C @N, i a, u a, f a, C oN, P a, C aU, C oU, x a, z a, C un, K a, Z a, s a, C @n, c a, C an, C aI, a a, k a, C a i, C a an, an C a, y C a, u C a, C a @, in C a, C a @r, a	196554.205645
c aI									0.000	0	0	0.0		0		0	0.000		39	30	8	1	z aI, l aI, T aI, c 1, t aI, c oN, k aI, x aI, K aI, m aI, P aI, p aI, c aU, c aN, u aI, s aI, c an, c un, c @N, n aI, c a, c @, C aI, Z aI, c u, S aI, c oU, @n aI, c @n, aI aI, c aI u, c 1 aI, c aI i, yn c aI, i c aI, u c aI, c aI yn, iN c aI, aI	70515.6333333
C aI									0.000	0	0	0.0		0		0	0.000		36	30	5	1	z aI, l aI, T aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, C aN, C @N, P aI, C a, C oN, C aU, p aI, C oU, u aI, C un, s aI, C @n, n aI, C an, Z aI, S aI, @n aI, aI aI, C u aI, C oN aI, C @n aI, C aN aI, C aI i, aI	74378.1666667
c an									0.000	0	0	0.0		0		0	0.000		42	34	7	1	K an, t an, c 1, c oN, c aI, u an, p an, T an, s an, n an, k an, Z an, f an, S an, m an, l an, c aU, c aN, x an, P an, c un, c @N, c a, C an, z an, c @, r an, c u, c oU, i an, in an, y an, an an, c @n, c an y, u c an, c 1 an, c u an, c an in, c an an, c aU an, an	26716.289916
c aN									0.000	0	0	0.0		0		0	0.000		36	31	4	1	r aN, S aN, c 1, p aN, c oN, c aI, t aN, Z aN, f aN, C aN, u aN, k aN, m aN, T aN, i aN, c aU, l aN, c an, P aN, c un, c @N, z aN, c a, c @, K aN, c u, s aN, x aN, c oU, n aN, c @n, in c aN, c aN iN, an c aN, yn c aN, aN	21026.7741935
C an									0.000	0	0	0.0		0		0	0.000		41	34	6	1	K an, t an, C u, u an, C 1, C @, p an, C aN, C @N, T an, s an, n an, k an, Z an, C a, f an, C oN, S an, m an, C aU, l an, C oU, C un, x an, P an, c an, C @n, z an, r an, C aI, i an, in an, y an, an an, C u an, i C an, C an u, C a an, in C an, u C an, an	30494.5686275
