Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@ 0									0.000	0	0	0.0		0		0	0.000		7	3	4	0	@ 4, @ 2, @ 3, t @ 0, k @ 0, n @ 0, l @ 0	493005.833333
@n 0									0.000	0	0	0.0		0		0	0.000		3	2	1	0	@n 1, @n 4, m @n 0	59804.0
@N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
@n 2									0.000	0	0	0.0		0		0	0.000		23	15	8	0	oU 2, @r 2, @n 1, y 2, iN 2, u 2, i 2, aU 2, @ 2, in 2, yn 2, aN 2, @n 4, aI 2, a 2, r @n 2, m @n 2, u @n 2, S @n 2, C @n 2, x @n 2, f @n 2, P @n 2	39435.7916667
@N 2									0.000	0	0	0.0		0		0	0.000		25	13	12	0	oU 2, @r 2, y 2, iN 2, u 2, i 2, aU 2, @ 2, in 2, yn 2, aN 2, aI 2, a 2, n @N 2, C @N 2, T @N 2, r @N 2, c @N 2, m @N 2, f @N 2, P @N 2, S @N 2, x @N 2, p @N 2, l @N 2	27636.9935897
@N 3									0.000	0	0	0.0		0		0	0.000		22	12	10	0	i 3, y 3, u 3, @r 3, in 3, iN 3, @ 3, aI 3, oU 3, an 3, yn 3, aU 3, t @N 3, Z @N 3, l @N 3, S @N 3, m @N 3, P @N 3, C @N 3, k @N 3, u @N 3, f @N 3	9199.41666667
@N 4									0.000	0	0	0.0		0		0	0.000		28	15	13	0	aI 4, oU 4, @ 4, an 4, i 4, @r 4, y 4, u 4, yn 4, in 4, aU 4, iN 4, eI 4, @n 4, aN 4, Z @N 4, S @N 4, m @N 4, P @N 4, p @N 4, t @N 4, f @N 4, c @N 4, z @N 4, l @N 4, C @N 4, u @N 4, k @N 4	10597.1897436
@r 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	@r 2, @r 4, @r 3	18282.6666667
@r 1									0.000	0	0	0.0		0		0	0.000		16	16	0	0	i 1, a 1, @r 2, @n 1, oU 1, @r 4, in 1, @r 3, iN 1, aI 1, u 1, an 1, yn 1, y 1, aN 1, aU 1	28547.0
1 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
1 1									0.000	0	0	0.0		0		0	0.000		18	13	5	0	i 1, a 1, @n 1, oU 1, in 1, iN 1, aI 1, u 1, an 1, yn 1, y 1, aN 1, aU 1, C 1 1, Z 1 1, s 1 1, S 1 1, z 1 1	44872.8923077
1 2									0.000	0	0	0.0		0		0	0.000		17	13	4	0	oU 2, @r 2, y 2, iN 2, u 2, i 2, aU 2, @ 2, in 2, yn 2, aN 2, aI 2, a 2, S 1 2, Z 1 2, c 1 2, C 1 2	21916.5769231
1 3									0.000	0	0	0.0		0		0	0.000		18	12	6	0	i 3, y 3, u 3, @r 3, in 3, iN 3, @ 3, aI 3, oU 3, an 3, yn 3, aU 3, Z 1 3, s 1 3, S 1 3, c 1 3, z 1 3, C 1 3	29349.9166667
1 4									0.000	0	0	0.0		0		0	0.000		22	15	7	0	aI 4, oU 4, @ 4, an 4, i 4, @r 4, y 4, u 4, yn 4, in 4, aU 4, iN 4, eI 4, @n 4, aN 4, S 1 4, c 1 4, s 1 4, z 1 4, Z 1 4, r 1 4, C 1 4	169464.838095
a 0									0.000	0	0	0.0		0		0	0.000		4	2	2	0	a 1, a 2, p a 0, i a 0	169403.0
aI 0									0.000	0	0	0.0		0		0	0.000		4	4	0	0	aI 4, aI 1, aI 3, aI 2	8637.0
an 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	an 4, an 1, an 3	3402.66666667
aN 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	aN 2, aN 1, aN 4	128.333333333
ar 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
ar 1									0.000	0	0	0.0		0		0	0.000		13	13	0	0	i 1, a 1, @n 1, oU 1, in 1, iN 1, aI 1, u 1, an 1, yn 1, y 1, aN 1, aU 1	30915.6923077
ar 2									0.000	0	0	0.0		0		0	0.000		13	13	0	0	oU 2, @r 2, y 2, iN 2, u 2, i 2, aU 2, @ 2, in 2, yn 2, aN 2, aI 2, a 2	11583.0769231
ar 3									0.000	0	0	0.0		0		0	0.000		12	12	0	0	i 3, y 3, u 3, @r 3, in 3, iN 3, @ 3, aI 3, oU 3, an 3, yn 3, aU 3	4962.91666667
ar 4									0.000	0	0	0.0		0		0	0.000		15	15	0	0	aI 4, oU 4, @ 4, an 4, i 4, @r 4, y 4, u 4, yn 4, in 4, aU 4, iN 4, eI 4, @n 4, aN 4	7848.26666667
