Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		28	8	20	0	i, a, oU, aI, y, u, aU, eI, t @, Z @, k @, n @, K @, @ r, @ n, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ i, aI @, y @	195356.025
@ n									0.000	0	0	0.0		0		0	0.000		25	6	18	1	@ r, a n, i n, y n, @ y, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, @ n aI, c @ n, @	80027.4444444
@ N									0.000	0	0	0.0		0		0	0.000		26	6	19	1	@ r, @ n, i N, @ y, a N, @ i, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, @	62985.7368421
@ r									0.000	0	0	0.0		0		0	0.000		12	3	8	1	@ n, @ y, @ i, @ r i, oU @ r, y @ r, @ r y, i @ r, @ r u, u @ r, aI @ r, @	42467.875
1									0.000	0	0	0.0		0		0	0.000		16	9	7	0	i, a, oU, aI, y, @, u, aU, eI, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	265064.698413
a									0.000	0	0	0.0		0		0	0.000		31	8	23	0	i, oU, aI, y, @, u, aU, eI, T a, p a, m a, n a, t a, S a, l a, i a, C a, u a, f a, a n, P a, x a, z a, K a, Z a, s a, c a, a i, a N, a a, k a	135662.119565
aI									0.000	0	0	0.0		0		0	0.000		28	8	20	0	i, a, oU, y, @, u, aU, eI, z aI, l aI, T aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, p aI, u aI, s aI, n aI, C aI, Z aI, S aI, aI i, aI @, aI aI	120712.7
a n									0.000	0	0	0.0		0		0	0.000		30	6	23	1	@ n, i n, y n, a i, a N, a a, K a n, t a n, u a n, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, S a n, m a n, l a n, x a n, P a n, c a n, C a n, z a n, r a n, i a n, a n y, a n i, y a n, a	159009.847826
a N									0.000	0	0	0.0		0		0	0.000		25	4	20	1	i N, a n, a i, a a, r a N, S a N, p a N, t a N, Z a N, f a N, C a N, u a N, k a N, m a N, T a N, i a N, c a N, l a N, P a N, z a N, K a N, s a N, x a N, n a N, a	163603.25
a r									0.000	0	0	0.0		0		0	0.000		6	5	0	1	@ r, a n, a i, a N, a a, a	147302.6
aU									0.000	0	0	0.0		0		0	0.000		27	8	19	0	i, a, oU, aI, y, @, u, eI, x aU, i aU, t aU, Z aU, k aU, z aU, l aU, P aU, p aU, S aU, K aU, T aU, C aU, m aU, c aU, n aU, r aU, s aU, aU aU	126860.532895
c @									0.000	0	0	0.0		0		0	0.000		27	21	5	1	t @, Z @, k @, n @, K @, c 1, c aI, C @, x @, S @, r @, T @, c aU, l @, s @, z @, c a, c u, c oU, aI @, y @, c @ N, y c @, c @ i, i c @, c @ n, @	147324.057143
C @									0.000	0	0	0.0		0		0	0.000		28	21	6	1	t @, Z @, k @, n @, K @, C u, C 1, x @, C a, C aU, C oU, S @, r @, T @, l @, s @, z @, c @, C aI, aI @, y @, C @ N, C @ n, C oU @, C a @, C u @, C aU @, @	149154.285714
c @ n									0.000	0	0	0.0		0		0	0.000		21	19	0	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, c a n, c u n, c @ N, C @ n, z @ n, P @ n, s @ n, n @ n, c @ i, @ n, c @	57843.0789474
c @ N									0.000	0	0	0.0		0		0	0.000		24	22	1	1	n @ N, c o N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, c a N, T @ N, l @ N, x @ N, p @ N, K @ N, k @ N, u @ N, c @ i, s @ N, c @ n, c @ i N, c @	17962.9090909
C @ n									0.000	0	0	0.0		0		0	0.000		22	18	2	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, C @ N, f @ n, S @ n, p @ n, C u n, K @ n, C a n, z @ n, P @ n, s @ n, n @ n, c @ n, C @ n i, C @ n aI, @ n, C @	73491.8333333
C @ N									0.000	0	0	0.0		0		0	0.000		28	21	6	1	n @ N, t @ N, Z @ N, C a N, S @ N, f @ N, C o N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, C @ n, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, C @ N i, i C @ N, C @ N y, C @ N u, aI C @ N, @ C @ N, C @	41940.0238095
c @ r									0.000	0	0	0.0		0		0	0.000		12	8	2	2	c @ N, oU @ r, y @ r, i @ r, c @ i, c @ n, u @ r, aI @ r, c 1 @ r, c @ @ r, @ r, c @	28481.75
C @ r									0.000	0	0	0.0		0		0	0.000		11	7	2	2	C @ N, C @ n, oU @ r, y @ r, i @ r, u @ r, aI @ r, C u @ r, C a @ r, @ r, C @	43705.7142857
c 1									0.000	0	0	0.0		0		0	0.000		17	12	5	0	S 1, Z 1, s 1, c aI, C 1, z 1, c aU, r 1, c a, c @, c u, c oU, i c 1, c 1 y, y c 1, c 1 aI, c 1 i	115726.433333
C 1									0.000	0	0	0.0		0		0	0.000		15	12	3	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, C aU, C oU, r 1, C aI, u C 1, y C 1, C 1 i	122098.333333
c a									0.000	0	0	0.0		0		0	0.000		28	25	2	1	T a, p a, m a, n a, t a, c 1, c aI, S a, l a, i a, C a, u a, f a, P a, x a, c aU, z a, K a, Z a, s a, c @, c u, c oU, a a, k a, c a N, c a n, a	212614.08
C a									0.000	0	0	0.0		0		0	0.000		32	25	6	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, i a, u a, f a, P a, C aU, C oU, x a, z a, K a, Z a, s a, c a, C aI, a a, k a, C a N, C a n, C a i, y C a, u C a, C a @, a	213021.86
c aI									0.000	0	0	0.0		0		0	0.000		29	23	5	1	z aI, l aI, T aI, c 1, t aI, k aI, x aI, K aI, m aI, P aI, p aI, c aU, u aI, s aI, n aI, c a, c @, C aI, Z aI, c u, S aI, c oU, aI aI, c aI u, c 1 aI, c aI i, i c aI, u c aI, aI	78938.2434783
C aI									0.000	0	0	0.0		0		0	0.000		26	23	2	1	z aI, l aI, T aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, P aI, C a, C aU, p aI, C oU, u aI, s aI, n aI, Z aI, S aI, aI aI, C u aI, C aI i, aI	84054.0434783
c a n									0.000	0	0	0.0		0		0	0.000		30	23	5	2	K a n, t a n, u a n, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, S a n, m a n, l a n, c a N, x a n, P a n, c u n, C a n, z a n, r a n, i a n, y a n, c @ n, c a n y, u c a n, c 1 a n, c u a n, c aU a n, a n, c a	23126.9652174
c a N									0.000	0	0	0.0		0		0	0.000		24	22	0	2	r a N, S a N, p a N, c o N, t a N, Z a N, f a N, C a N, u a N, k a N, m a N, T a N, i a N, l a N, c a n, P a N, c @ N, z a N, K a N, s a N, x a N, n a N, c a, a N	24301.0
