Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		23	4	19	0	i, a, y, u, t @, Z @, k @, n @, K @, @ r, @ n, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ i, y @	237329.605263
@ n									0.000	0	0	0.0		0		0	0.000		24	6	17	1	@ r, a n, i n, y n, @ y, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, c @ n, @	82323.245098
@ N									0.000	0	0	0.0		0		0	0.000		26	6	19	1	@ r, @ n, i N, @ y, a N, @ i, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, @	62985.7368421
@ r									0.000	0	0	0.0		0		0	0.000		10	3	6	1	@ n, @ y, @ i, @ r i, y @ r, @ r y, i @ r, @ r u, u @ r, @	42619.6666667
1									0.000	0	0	0.0		0		0	0.000		12	5	7	0	i, a, y, @, u, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	289582.542857
a									0.000	0	0	0.0		0		0	0.000		29	4	25	0	i, y, @, u, T a, p a, m a, n a, t a, a I, S a, l a, i a, C a, u a, f a, a n, P a, x a, z a, K a, Z a, s a, a U, c a, a i, a N, a a, k a	153179.21
a I									0.000	0	0	0.0		0		0	0.000		26	6	19	1	a n, a U, a i, a N, e I, a a, z a I, l a I, T a I, t a I, c a I, k a I, x a I, K a I, m a I, P a I, p a I, u a I, s a I, n a I, C a I, Z a I, S a I, a I i, a I @, a	189078.903509
a n									0.000	0	0	0.0		0		0	0.000		32	8	23	1	@ n, a I, i n, y n, a U, a i, a N, a a, K a n, t a n, u a n, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, S a n, m a n, l a n, x a n, P a n, c a n, C a n, z a n, r a n, i a n, a n y, a n i, y a n, a	161478.847826
a N									0.000	0	0	0.0		0		0	0.000		27	6	20	1	a I, i N, a n, a U, a i, a a, r a N, S a N, p a N, t a N, Z a N, f a N, C a N, u a N, k a N, m a N, T a N, i a N, c a N, l a N, P a N, z a N, K a N, s a N, x a N, n a N, a	167703.083333
a r									0.000	0	0	0.0		0		0	0.000		8	7	0	1	@ r, a I, a n, a U, a i, a N, a a, a	148801.714286
a U									0.000	0	0	0.0		0		0	0.000		25	6	18	1	o U, a I, a n, a i, a N, a a, x a U, i a U, t a U, Z a U, k a U, z a U, l a U, P a U, p a U, S a U, K a U, T a U, C a U, m a U, c a U, n a U, r a U, s a U, a	214561.055556
c @									0.000	0	0	0.0		0		0	0.000		23	17	5	1	t @, Z @, k @, n @, K @, c 1, C @, x @, S @, r @, T @, l @, s @, z @, c a, c u, y @, c @ N, y c @, c @ i, i c @, c @ n, @	172164.2
C @									0.000	0	0	0.0		0		0	0.000		22	17	4	1	t @, Z @, k @, n @, K @, C u, C 1, x @, C a, S @, r @, T @, l @, s @, z @, c @, y @, C @ N, C @ n, C u @, C a @, @	177656.602941
c @ n									0.000	0	0	0.0		0		0	0.000		21	19	0	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, c a n, c u n, c @ N, C @ n, z @ n, P @ n, s @ n, n @ n, c @ i, @ n, c @	57843.0789474
c @ N									0.000	0	0	0.0		0		0	0.000		24	22	1	1	n @ N, c o N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, c a N, T @ N, l @ N, x @ N, p @ N, K @ N, k @ N, u @ N, c @ i, s @ N, c @ n, c @ i N, c @	17962.9090909
C @ n									0.000	0	0	0.0		0		0	0.000		21	18	1	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, C @ N, f @ n, S @ n, p @ n, C u n, K @ n, C a n, z @ n, P @ n, s @ n, n @ n, c @ n, C @ n i, @ n, C @	73613.8333333
C @ N									0.000	0	0	0.0		0		0	0.000		27	21	5	1	n @ N, t @ N, Z @ N, C a N, S @ N, f @ N, C o N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, C @ n, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, C @ N i, i C @ N, C @ N y, C @ N u, @ C @ N, C @	41947.1238095
c @ r									0.000	0	0	0.0		0		0	0.000		10	6	2	2	c @ N, y @ r, i @ r, c @ i, u @ r, c @ n, c 1 @ r, c @ @ r, @ r, c @	28485.5
C @ r									0.000	0	0	0.0		0		0	0.000		9	5	2	2	C @ N, C @ n, y @ r, i @ r, u @ r, C u @ r, C a @ r, @ r, C @	44820.6
c 1									0.000	0	0	0.0		0		0	0.000		13	9	4	0	S 1, Z 1, s 1, C 1, z 1, r 1, c a, c @, c u, i c 1, c 1 y, y c 1, c 1 i	148468.027778
C 1									0.000	0	0	0.0		0		0	0.000		12	9	3	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i	161097.888889
c a									0.000	0	0	0.0		0		0	0.000		27	22	4	1	T a, p a, m a, n a, t a, c 1, S a, l a, i a, C a, u a, f a, P a, x a, z a, K a, Z a, s a, c @, c u, a a, k a, c a I, c a U, c a N, c a n, a	231752.727273
C a									0.000	0	0	0.0		0		0	0.000		31	22	8	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, i a, u a, f a, P a, x a, z a, K a, Z a, s a, c a, a a, k a, C a N, C a U, C a n, C a I, C a i, y C a, u C a, C a @, a	222714.318182
c a I									0.000	0	0	0.0		0		0	0.000		26	19	5	2	z a I, l a I, T a I, t a I, k a I, x a I, K a I, m a I, P a I, p a I, c a U, c a N, u a I, s a I, c a n, n a I, C a I, Z a I, S a I, c a I u, c 1 a I, c a I i, i c a I, u c a I, a I, c a	68892.6210526
C a I									0.000	0	0	0.0		0		0	0.000		25	21	2	2	z a I, l a I, T a I, t a I, c a I, k a I, x a I, K a I, m a I, C a N, P a I, C a U, p a I, u a I, s a I, n a I, C a n, Z a I, S a I, C a i, C a @, C u a I, C a I i, a I, C a	72921.0
c a n									0.000	0	0	0.0		0		0	0.000		31	25	4	2	K a n, t a n, c a I, u a n, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, S a n, m a n, l a n, c a U, c a N, x a n, P a n, c u n, C a n, z a n, r a n, i a n, y a n, c @ n, c a n y, u c a n, c 1 a n, c u a n, a n, c a	24066.58
