Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@									0.000	0	0	0.0		0		0	0.000		38	18	20	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, aI, y, u, yE, ia, ua, uaI, aU, eI, t @, Z @, k @, n @, K @, @ n, C @, x @, S @, r @, T @, l @, s @, z @, c @, @ y, @ uaI, @ i, aI @, y @	299811.327778
@ n									0.000	0	0	0.0		0		0	0.000		30	10	19	1	ua n, u@ n, yE n, iE n, a n, i n, y n, @ y, @ uaI, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, @ n aI, @ u@ n, @ iE n, c @ n, @	76229.2315789
@ N									0.000	0	0	0.0		0		0	0.000		29	10	18	1	io N, @ n, ua N, i N, ia N, @ y, @ uaI, a N, @ i, u@ N, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, s @ N, @	58873.5555556
@ r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	@ n, @ y, @ uaI, @ i, @	38418.75
1									0.000	0	0	0.0		0		0	0.000		26	19	7	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, aI, y, @, u, yE, ia, ua, uaI, aU, eI, S 1, Z 1, s 1, c 1, C 1, z 1, r 1	369130.24812
a									0.000	0	0	0.0		0		0	0.000		41	18	23	0	uo, ioU, iaU, i, iE, oU, ueI, @r, aI, y, @, u, yE, ia, ua, uaI, aU, eI, T a, p a, m a, n a, t a, S a, l a, C a, f a, a n, P a, x a, z a, K a, Z a, s a, c a, a i, a N, a a, k a, a ia, a ioU	248896.654589
aI									0.000	0	0	0.0		0		0	0.000		42	18	24	0	uo, ioU, iaU, i, iE, a, oU, ueI, @r, y, @, u, yE, ia, ua, uaI, aU, eI, z aI, l aI, T aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, p aI, s aI, n aI, C aI, Z aI, aI ia, S aI, aI iaU, aI i, aI @, ioU aI, u aI, aI aI, aI ua	219832.013889
a n									0.000	0	0	0.0		0		0	0.000		40	12	27	1	ua n, @ n, u@ n, yE n, iE n, i n, y n, a i, a N, a a, a ia, a ioU, K a n, t a n, p a n, T a n, s a n, n a n, k a n, Z a n, f a n, S a n, m a n, l a n, x a n, P a n, c a n, C a n, z a n, r a n, a n ueI, i a n, a n y, a n i, y a n, a n ia, ioU a n, ueI a n, iaU a n, a	159398.222222
a N									0.000	0	0	0.0		0		0	0.000		29	10	18	1	io N, ua N, i N, a n, ia N, a i, a a, u@ N, a ia, a ioU, r a N, S a N, p a N, t a N, Z a N, f a N, C a N, k a N, m a N, T a N, c a N, l a N, P a N, z a N, K a N, s a N, x a N, n a N, a	168873.644444
a r									0.000	0	0	0.0		0		0	0.000		7	6	0	1	a n, a i, a N, a a, a ia, a ioU, a	135960.166667
