Key	PY_T	Pho_T	IPA_T	PY_NoT	Pho_NoT	IPA_NoT	Tone	SyStruct	SyLen	PyLen	PhoLen	FreqPM	Words	HD	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	PND	R_PND	A_PND	S_PND	Neighbors	NF
@ 0									0.000	0	0	0.0		0		0	0.000		8	4	4	0	@ 4, ia 0, @ 2, @ 3, t @ 0, k @ 0, n @ 0, l @ 0	493334.5
@ n 0									0.000	0	0	0.0		0		0	0.000		3	2	1	0	@ n 1, @ n 4, m @ n 0	59804.0
@ N 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
@ n 2									0.000	0	0	0.0		0		0	0.000		16	8	7	1	@ n 1, ua n 2, yE n 2, u@ n 2, iE n 2, i n 2, y n 2, @ n 4, r @ n 2, m @ n 2, S @ n 2, C @ n 2, x @ n 2, f @ n 2, P @ n 2, @ 2	41533.5714286
@ N 2									0.000	0	0	0.0		0		0	0.000		17	4	12	1	i N 2, ua N 2, ia N 2, a N 2, n @ N 2, C @ N 2, T @ N 2, r @ N 2, c @ N 2, m @ N 2, f @ N 2, P @ N 2, S @ N 2, x @ N 2, p @ N 2, l @ N 2, @ 2	20076.4166667
@ N 3									0.000	0	0	0.0		0		0	0.000		14	5	8	1	ua N 3, ia N 3, io N 3, i N 3, u@ N 3, t @ N 3, Z @ N 3, l @ N 3, S @ N 3, m @ N 3, P @ N 3, C @ N 3, k @ N 3, @ 3	8563.35
@ N 4									0.000	0	0	0.0		0		0	0.000		20	7	12	1	io N 4, ua N 4, ia N 4, i N 4, @ n 4, u@ N 4, a N 4, Z @ N 4, S @ N 4, m @ N 4, P @ N 4, p @ N 4, t @ N 4, f @ N 4, c @ N 4, z @ N 4, l @ N 4, C @ N 4, k @ N 4, @ 4	38462.3690476
@ r 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
@ r 1									0.000	0	0	0.0		0		0	0.000		1	1	0	0	@ n 1	39633.0
1 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	ia 0	10700.0
1 1									0.000	0	0	0.0		0		0	0.000		21	16	5	0	i 1, a 1, iaU 1, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, C 1 1, Z 1 1, s 1 1, S 1 1, z 1 1	39795.575
1 2									0.000	0	0	0.0		0		0	0.000		19	15	4	0	oU 2, ueI 2, @r 2, y 2, ioU 2, u 2, iE 2, i 2, ia 2, aU 2, @ 2, iaU 2, ua 2, aI 2, a 2, S 1 2, Z 1 2, c 1 2, C 1 2	23993.0333333
1 3									0.000	0	0	0.0		0		0	0.000		22	16	6	0	uo 3, ioU 3, iE 3, i 3, y 3, u 3, @r 3, iaU 3, @ 3, ueI 3, aI 3, oU 3, ua 3, ia 3, uaI 3, aU 3, Z 1 3, s 1 3, S 1 3, c 1 3, z 1 3, C 1 3	159744.0625
1 4									0.000	0	0	0.0		0		0	0.000		25	18	7	0	iaU 4, ioU 4, ueI 4, aI 4, oU 4, @ 4, yE 4, i 4, iE 4, @r 4, uaI 4, y 4, u 4, ia 4, aU 4, uo 4, eI 4, ua 4, S 1 4, c 1 4, s 1 4, z 1 4, Z 1 4, r 1 4, C 1 4	186573.960317
a 0									0.000	0	0	0.0		0		0	0.000		4	3	1	0	a 1, ia 0, a 2, p a 0	242324.666667
aI 0									0.000	0	0	0.0		0		0	0.000		5	5	0	0	aI 4, ia 0, aI 1, aI 3, aI 2	9049.6
a n 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	a n 4, a n 1, a n 3	3402.66666667
a N 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	a N 2, a N 1, a N 4	128.333333333
a r 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
a r 1									0.000	0	0	0.0		0		0	0.000		3	2	0	1	a n 1, a N 1, a 1	134939.5
a r 2									0.000	0	0	0.0		0		0	0.000		2	1	0	1	a N 2, a 2	230.0
a r 3									0.000	0	0	0.0		0		0	0.000		1	1	0	0	a n 3	105.0
