Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
妸	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
妿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
娿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
婀	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
屙	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
痾	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
阿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
鵝	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
咹	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
垩	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	76	0	76	0	@ C@N, @ CoU, @ i, @ iEn, @ Ji, @ Jyn, @ kan, @ koU, @ kueI, @ kun, @ kuo, @ liE, @ m@N, @ maU, @ miN, @ muo, @ niEn, @ pa, @ paU, @ r@n, @ s!, @ Sa, @ toU, @ ToU, @ tu, @ u@n, @ uaI, @ xaU, @ Xi, @ Xin, @ XiN, @ xua, @ y, @ yn, @ z!, @ Z!, @ Za, @ Zan, @ ZaU, @ Zu, aI @, Ca @, CaU @, CoU @, Cu @, f@n @, feI @, Ji @, Jin @, JiN @, Jy @, kaU @, Kuan @, miEn @, miN @, paI @, PeI @, Qi @, QiEn @, QyEn @, San @, SaN @, su @, Su @, ta @, TiEn @, tiN @, uan @, Xia @, XiE @, XiEn @, XioN @, y @, zoN @, zueI @, zuo @	196.368421052632	0.49	0	0	0	0
