Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
妸	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
妿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
娿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
婀	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
屙	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
痾	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
阿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
鵝	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
咹	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
垩	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
惡	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
鍔	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
锷	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	26	19	0	19	0	@ i, @ y, @ yn, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	180263.105263158	0.72	0	0	0	0
峎	added	@n	en	@n	ən	NA	@	VN	1	2	2	1	added	0	0		0	0	嗯, 恩, 摁	3	16	0	16	0	@n aI, C @n, f @n, k @n, K @n, m @n, n @n, p @n, P @n, r @n, s @n, S @n, u @n, x @n, z @n, Z @n	43941.25	0.88	0	0	0	0
鞥	added	@N	eng	@N	əŋ	NA	@	VN	1	3	2	1	added	0	0		0	0		0	19	0	19	0	c @N, C @N, f @N, k @N, K @N, l @N, m @N, n @N, p @N, P @N, r @N, s @N, S @N, t @N, T @N, u @N, x @N, z @N, Z @N	16567.4210526316	1	0	0	0	0
尔	added	@r	er	@r	əɹ	NA	@	VR	1	2	2	1	added	0	0		0	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	12	0	12	0	@r i, @r u, @r y, f @r, i @r, in @r, iN @r, k @r, oU @r, u @r, y @r, Z @r	2731.83333333333	0.59	0	0	0	0
餌	added	@r	er	@r	əɹ	NA	@	VR	1	2	2	1	added	0	0		0	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	12	0	12	0	@r i, @r u, @r y, f @r, i @r, in @r, iN @r, k @r, oU @r, u @r, y @r, Z @r	2731.83333333333	0.59	0	0	0	0
迩	added	@r	er	@r	əɹ	NA	@	VR	1	2	2	1	added	0	0		0	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	12	0	12	0	@r i, @r u, @r y, f @r, i @r, in @r, iN @r, k @r, oU @r, u @r, y @r, Z @r	2731.83333333333	0.59	0	0	0	0
啊	added	a	a	a	a	NA	a	V	1	1	1	1	added	0	0		0	0	啊, 阿, 嗄, 锕	4	30	0	30	0	a a, a i, c a, C a, f a, i a, Ji a, k a, K a, ku a, Ku a, l a, m a, n a, p a, P a, Qi a, s a, S a, Su a, t a, T a, ti a, u a, x a, Xi a, xu a, z a, Z a, Zu a	64799.3666666667	0.94	0	0	0	0
礙	added	aI	ai	aI	aɪ	NA	a	VV	1	2	2	1	added	0	0		0	0	哀, 哎, 唉, 埃, 挨, 锿, 捱, 矮, 蔼, 霭, 嗳, 暧, 爱, 砹, 碍, 艾, 隘	17	27	0	27	0	@n aI, aI @, aI aI, aI i, c aI, C aI, Cu aI, k aI, K aI, ku aI, Ku aI, l aI, m aI, n aI, p aI, P aI, s aI, S aI, Su aI, t aI, T aI, u aI, x aI, xu aI, z aI, Z aI, Zu aI	40096.037037037	0.86	0	0	0	0
皑	added	aI	ai	aI	aɪ	NA	a	VV	1	2	2	1	added	0	0		0	0	哀, 哎, 唉, 埃, 挨, 锿, 捱, 矮, 蔼, 霭, 嗳, 暧, 爱, 砹, 碍, 艾, 隘	17	27	0	27	0	@n aI, aI @, aI aI, aI i, c aI, C aI, Cu aI, k aI, K aI, ku aI, Ku aI, l aI, m aI, n aI, p aI, P aI, s aI, S aI, Su aI, t aI, T aI, u aI, x aI, xu aI, z aI, Z aI, Zu aI	40096.037037037	0.86	0	0	0	0
啽	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
玵	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
雸	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
黯	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
儑	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
鹌	added	an	an	an	an	NA	a	VN	1	2	2	1	added	0	0		0	0	安, 庵, 氨, 谙, 铵, 鞍, 俺, 唵, 岸, 按, 暗, 案, 桉, 胺, 闇	15	40	0	40	0	an an, an i, an iN, an y, c an, C an, cu an, Cu an, f an, i an, in an, k an, K an, ku an, Ku an, l an, lu an, m an, n an, nu an, p an, P an, r an, ru an, s an, S an, su an, Su an, t an, T an, tu an, Tu an, u an, x an, xu an, y an, z an, Z an, zu an, Zu an	14875.025	0.86	0	0	0	0
奧	added	aU	ao	aU	aʊ	NA	a	VV	1	2	2	1	added	0	0		0	0	凹, 坳, 嗷, 敖, 熬, 獒, 翱, 螯, 鏊, 鳌, 艹, 袄, 傲, 奥, 懊, 澳	16	30	0	30	0	aU aU, aU yn, c aU, C aU, i aU, Ji aU, k aU, K aU, l aU, li aU, m aU, mi aU, n aU, ni aU, p aU, P aU, pi aU, Pi aU, Qi aU, r aU, s aU, S aU, t aU, T aU, ti aU, Ti aU, x aU, Xi aU, z aU, Z aU	38688.5	0.94	0	0	0	0
慠	added	aU	ao	aU	aʊ	NA	a	VV	1	2	2	1	added	0	0		0	0	凹, 坳, 嗷, 敖, 熬, 獒, 翱, 螯, 鏊, 鳌, 艹, 袄, 傲, 奥, 懊, 澳	16	30	0	30	0	aU aU, aU yn, c aU, C aU, i aU, Ji aU, k aU, K aU, l aU, li aU, m aU, mi aU, n aU, ni aU, p aU, P aU, pi aU, Pi aU, Qi aU, r aU, s aU, S aU, t aU, T aU, ti aU, Ti aU, x aU, Xi aU, z aU, Z aU	38688.5	0.94	0	0	0	0
遨	added	aU	ao	aU	aʊ	NA	a	VV	1	2	2	1	added	0	0		0	0	凹, 坳, 嗷, 敖, 熬, 獒, 翱, 螯, 鏊, 鳌, 艹, 袄, 傲, 奥, 懊, 澳	16	30	0	30	0	aU aU, aU yn, c aU, C aU, i aU, Ji aU, k aU, K aU, l aU, li aU, m aU, mi aU, n aU, ni aU, p aU, P aU, pi aU, Pi aU, Qi aU, r aU, s aU, S aU, t aU, T aU, ti aU, Ti aU, x aU, Xi aU, z aU, Z aU	38688.5	0.94	0	0	0	0
鏖	added	aU	ao	aU	aʊ	NA	a	VV	1	2	2	1	added	0	0		0	0	凹, 坳, 嗷, 敖, 熬, 獒, 翱, 螯, 鏊, 鳌, 艹, 袄, 傲, 奥, 懊, 澳	16	30	0	30	0	aU aU, aU yn, c aU, C aU, i aU, Ji aU, k aU, K aU, l aU, li aU, m aU, mi aU, n aU, ni aU, p aU, P aU, pi aU, Pi aU, Qi aU, r aU, s aU, S aU, t aU, T aU, ti aU, Ti aU, x aU, Xi aU, z aU, Z aU	38688.5	0.94	0	0	0	0
