Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen	PY_T	PY_NoT	IPA_T	IPA_NoT
妸	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
妿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
娿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
婀	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
屙	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
痾	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
阿	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
鵝	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
咹	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
垩	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
惡	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
鍔	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
锷	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	19	0	19	0	@ i, @ n, @ r, @ y, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	185224.263157895	0.65	NA	NA	NA	NA	NA	NA	NA	NA
鞥	added	@N	eng	@ N	əŋ	NA	@	VN	1	3	2	2	added	0	0	NA	0	NA	NA	26	6	19	1	@ r, @ n, i N, @ y, a N, @ i, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N, @	62966.4210526	0.56	NA	NA	NA	NA	NA	NA	NA	NA
峎	added	@n	en	@ n	ən	NA	@	VN	1	2	2	2	added	0	0	NA	0	嗯, 恩, 摁	3	23	6	16	1	@ r, a n, i n, y n, @ y, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, @	84888.4583333	0.46	NA	NA	NA	NA	NA	NA	NA	NA
尔	added	@r	er	@ r	əɹ	NA	@	VR	1	2	2	2	added	0	0	NA	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	13	3	9	1	@ n, @ y, @ i, Z @ r, @ r i, y @ r, f @ r, @ r y, i @ r, k @ r, @ r u, u @ r, @	45062.5555556	0.33	NA	NA	NA	NA	NA	NA	NA	NA
餌	added	@r	er	@ r	əɹ	NA	@	VR	1	2	2	2	added	0	0	NA	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	13	3	9	1	@ n, @ y, @ i, Z @ r, @ r i, y @ r, f @ r, @ r y, i @ r, k @ r, @ r u, u @ r, @	45062.5555556	0.33	NA	NA	NA	NA	NA	NA	NA	NA
迩	added	@r	er	@ r	əɹ	NA	@	VR	1	2	2	2	added	0	0	NA	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	13	3	9	1	@ n, @ y, @ i, Z @ r, @ r i, y @ r, f @ r, @ r y, i @ r, k @ r, @ r u, u @ r, @	45062.5555556	0.33	NA	NA	NA	NA	NA	NA	NA	NA
瘈	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	13	9	4	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i, C 1 y	161047.694444	0.26	NA	NA	NA	NA	NA	NA	NA	NA
齒	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	13	9	4	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i, C 1 y	161047.694444	0.26	NA	NA	NA	NA	NA	NA	NA	NA
恥	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	13	9	4	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i, C 1 y	161047.694444	0.26	NA	NA	NA	NA	NA	NA	NA	NA
喫	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	13	9	4	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i, C 1 y	161047.694444	0.26	NA	NA	NA	NA	NA	NA	NA	NA
啻	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	13	9	4	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, r 1, u C 1, y C 1, C 1 i, C 1 y	161047.694444	0.26	NA	NA	NA	NA	NA	NA	NA	NA
車	added	C@	che	C @	tʂʻə	NA	C	CV	1	3	2	2	added	0	0	NA	0	车, 扯, 坼, 彻, 掣, 撤, 澈, 辙	8	22	17	4	1	t @, l @, Z @, k @, n @, K @, C u, C 1, x @, C a, S @, r @, T @, s @, z @, c @, y @, C @ N, C @ n, C u @, C a @, @	238928.058824	0.48	NA	NA	NA	NA	NA	NA	NA	NA
徹	added	C@	che	C @	tʂʻə	NA	C	CV	1	3	2	2	added	0	0	NA	0	车, 扯, 坼, 彻, 掣, 撤, 澈, 辙	8	22	17	4	1	t @, l @, Z @, k @, n @, K @, C u, C 1, x @, C a, S @, r @, T @, s @, z @, c @, y @, C @ N, C @ n, C u @, C a @, @	238928.058824	0.48	NA	NA	NA	NA	NA	NA	NA	NA
