Char	Lexicality	Key	PY	Pho	IPA	Tone	Initial	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqDowls	FreqDL	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
妸	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
妿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
娿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
婀	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
屙	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
痾	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
阿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0		0	0		0	23	16	7	0	i 1, a 1, @n 1, @ 4, oU 1, in 1, iN 1, aI 1, u 1, an 1, @ 2, yn 1, @ 3, y 1, aN 1, aU 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1, t @ 1	32467.7678571	0.4	0	0	0	0
鵝	added	@2	e2	@ 2	ə2	2	@	V	1	1	1	2	added	0	0		0	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅	9	21	14	7	0	oU 2, @r 2, @ 4, y 2, iN 2, u 2, i 2, aU 2, in 2, @ 3, yn 2, aN 2, aI 2, a 2, x @ 2, k @ 2, t @ 2, z @ 2, S @ 2, Z @ 2, K @ 2	14909.7857143	0.42	0	0	0	0
咹	added	@4	e4	@ 4	ə4	4	@	V	1	1	1	2	added	0	0		0	0	咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	15	28	16	12	0	aI 4, oU 4, an 4, i 4, @r 4, y 4, u 4, yn 4, in 4, aU 4, iN 4, @ 2, @ 3, eI 4, @n 4, aN 4, Z @ 4, x @ 4, K @ 4, T @ 4, S @ 4, r @ 4, s @ 4, l @ 4, k @ 4, c @ 4, C @ 4, n @ 4	33363.9375	0.42	0	0	0	0
垩	added	@4	e4	@ 4	ə4	4	@	V	1	1	1	2	added	0	0		0	0	咹, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	15	28	16	12	0	aI 4, oU 4, an 4, i 4, @r 4, y 4, u 4, yn 4, in 4, aU 4, iN 4, @ 2, @ 3, eI 4, @n 4, aN 4, Z @ 4, x @ 4, K @ 4, T @ 4, S @ 4, r @ 4, s @ 4, l @ 4, k @ 4, c @ 4, C @ 4, n @ 4	33363.9375	0.42	0	0	0	0
