Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
妸	added	@	e	@	ə	NA	@	V	1	1	1	1	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅, 噁, 恶, 厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	25	21	0	21	0	@ i, @ n, @ r, @ uaI, @ y, aI @, c @, C @, k @, K @, l @, n @, r @, s @, S @, t @, T @, x @, y @, z @, Z @	167613.523809524	0.62	NA	NA	NA	NA
鞥	added	@N	eng	@ N	əŋ	NA	@	VN	1	3	2	2	added	0	0	NA	0	NA	NA	30	11	18	1	@ r, io N, @ n, ua N, i N, ia N, @ y, @ uaI, a N, @ i, u@ N, n @ N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, s @ N, @	62636.7878788	0.42	NA	NA	NA	NA
峎	added	@n	en	@ n	ən	NA	@	VN	1	2	2	2	added	0	0	NA	0	嗯, 恩, 摁	3	30	11	18	1	@ r, ua n, u@ n, yE n, iE n, a n, i n, y n, @ y, @ uaI, @ i, x @ n, r @ n, Z @ n, k @ n, m @ n, f @ n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ y n, @ n aI, @ u@ n, @ iE n, @	82027.5656566	0.3	NA	NA	NA	NA
尔	added	@r	er	@ r	əɹ	NA	@	VR	1	2	2	2	added	0	0	NA	0	儿, 而, 鸸, 尓, 尔, 珥, 耳, 饵, 二, 贰	10	24	6	17	1	@ n, @ y, @ uaI, ua r, @ i, ue r, Z @ r, @ r i, oU @ r, ioU @ r, y @ r, f @ r, @ r yE, @ r y, i @ r, k @ r, yE @ r, @ r uaI, ua @ r, u @ r, @ r u, aI @ r, ueI @ r, @	36974.5196078	0.33	NA	NA	NA	NA
瘈	added	C1	chi	C 1	tʂʻɨ	NA	C	CV	1	3	2	2	added	0	0	NA	0	吃, 哧, 嗤, 痴, 笞, 蚩, 匙, 持, 池, 茬, 迟, 驰, 侈, 呎, 尺, 耻, 齿, 叱, 敕, 斥, 炽, 翅, 赤, 饬	24	22	15	7	0	S 1, Z 1, s 1, c 1, C u, C @, C a, z 1, C aU, C oU, r 1, C ueI, C aI, C uo, C uaI, ia C 1, ueI C 1, u C 1, C 1 ioU, y C 1, C 1 i, C 1 iaU	98089.8190476	0.26	NA	NA	NA	NA
車	added	C@	che	C @	tʂʻə	NA	C	CV	1	3	2	2	added	0	0	NA	0	车, 扯, 坼, 彻, 掣, 撤, 澈, 辙	8	34	24	9	1	t @, l @, Z @, k @, n @, K @, C u, C 1, x @, C a, C aU, C oU, S @, r @, T @, s @, C ueI, z @, c @, C aI, C uo, C uaI, aI @, y @, C @ N, C @ n, C @ ueI, C oU @, C @ iE, ioU C @, C a @, C u @, C aU @, @	176841.694444	0.31	NA	NA	NA	NA
懲	added	C@N	cheng	C @ N	tʂʻəŋ	NA	C	CVN	1	5	3	3	added	0	0	NA	0	撑, 称, 乘, 呈, 城, 惩, 成, 承, 橙, 澄, 程, 裎, 诚, 逞, 秤	15	34	23	10	1	n @ N, t @ N, Z @ N, C a N, S @ N, f @ N, C ua N, C o N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, C @ n, x @ N, p @ N, K @ N, C @ ueI, k @ N, C @ iE, s @ N, C @ N ueI, C @ N i, C @ N uaI, i C @ N, C @ N iaU, C @ N y, ueI C @ N, C @ N u, @ C @ N, aI C @ N, C @	41924.6869565	0.3	NA	NA	NA	NA
瞋	added	C@n	chen	C @ n	tʂʻən	NA	C	CVN	1	4	3	3	added	0	0	NA	0	嗔, 抻, 琛, 尘, 晨, 沈, 沉, 臣, 莐, 辰, 陈, 衬, 谶, 趁	14	24	19	3	2	x @ n, r @ n, Z @ n, k @ n, m @ n, C ua n, C @ N, f @ n, S @ n, p @ n, C u n, K @ n, C a n, z @ n, P @ n, s @ n, n @ n, C @ ueI, C @ iE, C @ n i, C @ n aI, C @ n y, @ n, C @	70932.3157895	0.37	NA	NA	NA	NA
紁	added	Ca	cha	C a	tʂʻa	NA	C	CV	1	3	2	2	added	0	0	NA	0	叉, 喳, 差, 插, 杈, 察, 搽, 查, 檫, 碴, 茶, 岔, 衩, 诧	14	36	26	9	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, f a, P a, C aU, C oU, x a, z a, K a, Z a, s a, C ueI, c a, C aI, C uo, C uaI, a a, k a, C a N, C a n, C a i, C a yE, C a iE, y C a, u C a, C a @, C a ioU, a	207849.965812	0.34	NA	NA	NA	NA
茝	added	CaI	chai	C aI	tʂʻaɪ	NA	C	CVV	1	4	3	2	added	0	0	NA	0	拆, 侪, 柴, 豺	4	31	27	3	1	z aI, l aI, T aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, P aI, C a, C aU, p aI, C oU, s aI, C ueI, n aI, Z aI, S aI, C uo, C uaI, ioU aI, u aI, aI aI, ioU C aI, C aI ioU, C aI i, aI	76613.3703704	0.45	NA	NA	NA	NA
