Char	Lexicality	Key	PY	Pho	IPA	Tone	Onset	SyStruct	SyLen	PyLen	SegLen	PhoLen	Dom_POS	Freq_Dom_POS	Percent_Dom_POS	Other_POSes	FreqPM	Homophones	HD	PND	Sub_PND	Add_PND	Del_PND	Neighbors	NF	CC	CS	Btw	Close	Eigen
妸	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
妿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
娿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
婀	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
屙	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
痾	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
阿	added	@1	e1	@ 1	ə1	1	@	V	1	1	1	2	added	0	0	NA	0	NA	NA	26	19	7	0	i 1, a 1, iaU 1, @ 4, ua 1, oU 1, yE 1, ia 1, aI 1, u 1, ioU 1, @ 2, @ 3, ueI 1, uo 1, uaI 1, y 1, iE 1, aU 1, @ n 1, C @ 1, k @ 1, K @ 1, x @ 1, Z @ 1, S @ 1	34490.2556391	0.42	NA	NA	NA	NA
鵝	added	@2	e2	@ 2	ə2	2	@	V	1	1	1	2	added	0	0	NA	0	俄, 娥, 峨, 蚵, 蛾, 讹, 锇, 额, 鹅	9	23	15	8	0	oU 2, ueI 2, @ 4, y 2, ioU 2, u 2, iE 2, i 2, ia 2, aU 2, iaU 2, @ 3, ua 2, aI 2, a 2, @ r 2, x @ 2, k @ 2, t @ 2, z @ 2, S @ 2, Z @ 2, K @ 2	20083.2916667	0.4	NA	NA	NA	NA
咹	added	@4	e4	@ 4	ə4	4	@	V	1	1	1	2	added	0	0	NA	0	厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	14	32	18	14	0	iaU 4, ioU 4, ueI 4, aI 4, oU 4, yE 4, i 4, iE 4, uaI 4, y 4, u 4, ia 4, aU 4, uo 4, @ 2, @ 3, eI 4, ua 4, Z @ 4, x @ 4, K @ 4, T @ 4, @ r 4, S @ 4, r @ 4, s @ 4, l @ 4, k @ 4, c @ 4, C @ 4, @ n 4, n @ 4	47280.0079365	0.38	NA	NA	NA	NA
垩	added	@4	e4	@ 4	ə4	4	@	V	1	1	1	2	added	0	0	NA	0	厄, 呃, 噩, 愕, 扼, 搤, 腭, 萼, 轭, 遏, 鄂, 颚, 饿, 鳄	14	32	18	14	0	iaU 4, ioU 4, ueI 4, aI 4, oU 4, yE 4, i 4, iE 4, uaI 4, y 4, u 4, ia 4, aU 4, uo 4, @ 2, @ 3, eI 4, ua 4, Z @ 4, x @ 4, K @ 4, T @ 4, @ r 4, S @ 4, r @ 4, s @ 4, l @ 4, k @ 4, c @ 4, C @ 4, @ n 4, n @ 4	47280.0079365	0.38	NA	NA	NA	NA
